Age Group,Total,None,1st - 4th grade,5th - 6th grade,7th - 8th grade,9th grade,10th grade,11th grade2,High school graduate,"Some college, no degree","Associate's degree, occupational","Associate's degree, academic",Bachelor's degree,Master's degree,Professional degree,Doctoral degree
18 years and over,121301,410,743,1653,1653,1769,2014,5377,36076,21500,4809,5949,25206,9721,1827,2596
18 to 24 years,14605,32,38,29,47,148,291,1928,4819,4909,321,501,1421,100,7,16
25 years and over,106695,378,705,1624,1607,1621,1723,3449,31257,16591,4488,5448,23785,9621,1820,2580
25 to 29 years,11792,39,28,60,83,123,138,387,3416,2227,436,644,3302,734,80,96
30 to 34 years,10935,39,41,119,117,120,155,380,3178,1632,454,547,2841,858,216,238
35 to 39 years,10629,33,75,149,115,217,198,330,2951,1512,501,516,2566,1068,141,255
40 to 44 years,9628,51,69,180,128,184,161,266,2740,1350,413,580,2136,966,161,241
45 to 49 years,9993,36,54,178,142,188,126,348,2940,1472,456,605,2070,985,141,253
50 to 54 years,9930,27,42,156,154,159,141,372,3057,1514,425,519,2072,901,155,237
55 to 59 years,10046,31,68,214,146,164,197,388,3116,1443,484,507,2065,854,162,206
60 to 64 years,9819,19,66,175,135,111,149,325,3171,1487,438,533,1949,817,223,220
65 to 69 years,8198,32,49,115,121,130,118,211,2212,1489,335,384,1779,790,184,248
70 to 74 years,6691,10,66,80,113,72,119,153,1753,1099,257,329,1459,769,146,266
75 years and over,9034,60,145,197,353,153,219,290,2724,1366,290,285,1545,877,211,321
